/* Names data file for localisation
 * The id's should be less than 20 chars 
 *
 * Text like this "*text*" is not final and should not be translated.
 */ 

/*
 * VEHICLES
 */

/* FINAL VEHICLES */
ZNULLDESIGN				_("New Design")
NX-L-Missile-A-T-VTOL			"*NX-L-ASMiss-VTOL*"
//NX-L-Rail1-Whl				"*NX-L-Rail1-Whl*"
NX-L-Sens-Hov				"*NX-L-Sens-Hov*"
NX-M-Missile-A-T-Hover			"*NX-M-ATMiss-Hov*"
NX-M-Com-Hover				"*NX-M-Com-Track*"
NX-M-Con-Hover				"*NX-M-Con-Hover*"
NX-L-Repair-Hover			"*NX-L-Repair-Hover*"
NX-M-Link-Hover				"*NX-M-Link-Hover*"
NX-M-Strike-Hover			"*NX-M-Strike-Hover*"
NX-H-CBS-Hover				"*NX-H-CBS-Hover*"
NX-M-VTOLCBS-Hover			"*NX-M-VTOLCBS-Hover*"
NX-M-PulseLas-Hover			"*NX-M-Laser2-Hover*"
NX-H-Rail3-Hover			"*NX-H-Rail3-Hover*"
NX-H-BeamLas-Hover			"*NX-H-BeamLas-Hover*"
NX-L-Missile-MdArt-Hover		"*NX-L-MdMiss-Hover*"
NX-H-HvMiss-Hover			"*NX-H-HvMiss-Hover*"
NX-L-Rail1-VTOL				"*NX-L-Rail1-VTOL*"
NX-H-Rail2-VTOL				"*NX-H-Rail2-VTOL*"

// NEXUS only Cyborgs
Cyb-NXCybRail1-GRD			"*Cyb-NXCybRail1-GRD*"
Cyb-NXCybATmiss-GRD			"*Cyb-NXCybATmiss-GRD*"
Cyb-NXPulseLas-GRD			"*Cyb-NXPulseLas-GRD*"

/* PLAYER 4 - FORCE EDITOR VEHICLES */


/* PLAYER 5 - MULTIPLAYER VEHICLES */

/* PLAYER 6 - TEST VEHICLES */

// new player cyborgs - for Pete

ATESTVEHICLE				"*TEST VEHICLE*"
AVTOLSPOTTER				"*VTOL SPOTTER*"
Superbody				"Kev's Super Body"
Superbody2				"Alex's Super Body"
Superweapon				"Kev's Super Weapon"
Superweapon2				"Alex's Super Weapon"
SuperTank				"Kev's Super Tank"
SuperTank2				"Alex's Killa"




/* PLAYER 7 - SCAVENGER VEHICLES */

/* FINAL CYBORGS */

// Cyborgs - shared 

/* TEST CYBORGS */	
CyborgCan01Air				"*TEST - Cyborg Cannon01 Air*"
CyborgCan01Ground			_("Cyborg Cannon")
CyborgRkt01Air				"*TEST - Cyborg Rocket01 Air*"

/*
 * COMPONENTS *
 */

/* BODIES */



/* Test Cyborg Body Parts */
//CyborgCan1Air				"*CyborgCannon1Air*"
//CyborgCan1Ground			"*CyborgCannon1Ground*"
CyborgChain1Ground			"*CyborgChaingun1Ground*"
//CyborgFlame1Ground			"*CyborgFlamer1Ground*"
//CyborgRkt1Air				"*CyborgRocket1Air*"
CyborgRkt1Ground			"*CyborgRocket1Ground*"
NX-Cyb-Rail1				"*NX-Cyb-Rail1*"
//NX-CybMissGrnd				"*NX-CybMissGrnd*"
NX-CybLasGrnd				"*NX-CybLasGrnd*"
//NX-CybChain1Grnd			"*NX-CybChain1Grnd*"

// New Cyborg Bodies - Unique body for EACH template
CyborgCannonGrd				"*Cyborg Cannon*"
CyborgFlamerGrd				"*Cyborg Flamer*"
CybFlamer01CGrd				"*Cyborg Flamer*"
CybRotMgGrd				"*Cyborg Assault Gun*"

/* BRAIN */
StandardBrain				"*TEST - Standard Brain*"
ConstructionBrain			"*TEST - ConstructionBrain*"

/* PROGRAM */
ZNULLPROGRAM				"Z NULL PROGRAM"
program1				"*TEST - program #1*"
Construct				"*TEST - Construct*"
RadarProgram				"*TEST - Radar Program*"
Demolish				_("Demolish")

/* CONSTRUCTION */	

/* PROPULSION */

/*BABARIAN PROPULSIONS*/

/*CYBORG PROPULSIONS*/

/* VEHICLE AUTO-REPAIR */

/* ECM */

/* SENSORS */
SensorTower1Mk1				_("Sensor Tower")



/* PLAYER STRUCTURES */
DemolishStructure			_("Demolish")
A0RepairCentre				_("Repair Center")


/* DEFENSIVE STRUCTURES */
//SuperEmplacement			"*Super Gun*"
//PlasmaEmplacement			"*Plasma Weapon*"

AASite-TwinBof				_("Tornado AA Site")

//Tower-Missile1				_("Lancer Guard Tower")
//Tower-Missile2				_("Mini-Rocket Guard Tower")

/*SENSOR TOWERS*/
//Sys-ECMTower01				_("Jammer Tower")

/*WALLTOWERS*/


/*PILLBOXES*/

/*TANKTRAPS*/
A0TankTrap2				_("Dragon's Teeth")
TankTrap2C				_("Dragon's Teeth")

/*VTOL STRUCTURES*/

/* EMPLACEMENTS */
//Emplacement-Super			"*Emplacement-SuperGun*"

/* PLAYER WEAPONS */


Howitzer105Mk1-Pit			_("Howitzer Emplacement")
Howitzer150Mk1-Pit			_("Ground Shaker Emplacement")
Howitzer03-Rot-Pit			_("Hellstorm Emplacement")
//Howitzer04-Inc				_("Hellfire")

//Laser1PRISMATICMk1			_("Flashlight")



//Missile-BB				_("Devastator Missile")

//Missile-VTOL-BB			_("VTOL Devastator Missile")

Mortar1Mk1-Pit			_("Mortar Emplacement")
Mortar2Mk1-Pit			_("Bombard Emplacement")
Mortar3ROTARYMk1-Pit		_("Pepperpot Emplacement")
//Rocket04-Scud			"*Earthshaker*"

CyborgCannon01			"*Cyborg Cannon*"

TUTMG						_("Machinegun")


AAGun1Mk1					_("Tornado Flak Turret")
AAGun2Mk1-VTOL				_("VTOL Flak Cannon")

//Supergun					"*Supergun*"

NavaroneGun					"*NavaroneGun*"

NX-CyborgMiss				"*NX-CyborgMiss*"
NX-CyborgChaingun				"*NX-CyborgChaingun*"
NX-CyborgPulseLas				"*NX-CyborgPulseLas*"




PBomb						_("Proximity Bomb Turret")
SPBomb					_("Proximity Superbomb Turret")

											 
// Collective Specific Defensive Structures
CollectiveWall				_("Collective Wall")
CollectiveCWall				_("Collective Corner Wall")
CO-Tower-MG3				"*CO-Tower-MG3*"
CO-Tower-RotMG				"*CO-Tower-RotMG*"
CO-Tower-MdCan				"*CO-Tower-MdCan*"
CO-WallTower-HvCan			"*CO-WallTower-HvCan*"
CO-WallTower-RotCan			"*CO-WallTower-RotCan*"
CO-Tower-HVCan				"*CO-Tower-HVCan*"
CO-Tower-HvFlame				"*CO-Tower-HvFlame*"
CO-Tower-HvATRkt				"*CO-Tower-HvATRkt*"
CO-Tower-LtATRkt				"*CO-Tower-LtATRkt*"
CO-Emp-Mortar2-Pit			"*CO-Emp-Mortar2-Pit*"
CO-Emp-How105-Pit				"*CO-Emp-How105-Pit*"
//CO-Emp-How150-Pit				"*CO-Emp-How150-Pit*"
//CO-Emp-RotHow-Pit				"*CO-Emp-RotHow-Pit*"
CO-Emp-RotMortar-Pit			"*CO-Emp-RotMortar-Pit*"
// CO-AASite-Flak1				"*CO-AASite-Flak1*"
// CO-AASite-Flak2				"*CO-AASite-Flak2*"
// CO-AASite-QuadMg1				"*CO-AASite-QuadMg1*"
// CO-AASite-QuadRotMg			"*CO-AASite-QuadRotMg*"
CO-AASite-SAM1				"*CO-AASite-SAM1*"

// NEXUS Specific Defensive Structures
NEXUSWall					_("Nexus Wall")
NEXUSCWall					_("Nexus Corner Wall")
NX-Tower-Rail1				"*NX-Tower-Rail1*"
NX-Tower-ATMiss				"*NX-Tower-ATMiss*"
NX-Tower-PulseLas				"*NX-Tower-PulseLas*"
NX-WallTower-Rail2			"*NX-WallTower-Rail2*"
NX-WallTower-BeamLas			"*NX-WallTower-BeamLas*"
NX-WallTower-Rail3			"*NX-WallTower-Rail3*"
NX-Emp-MedArtMiss-Pit			"*NX-Emp-MedArtMiss-Pit*"
NX-Emp-MultiArtMiss-Pit			"*NX-Emp-MultiArtMiss-Pit*"
NX-Emp-Plasma-Pit				"*NX-Emp-Plasma-Pit*"
NX-AASite-SAM1				"*NX-AASite-SAM1*"
NX-AASite-SAM2				"*NX-AASite-SAM2*"

/*
 * RESEARCH TOPICS
 */
ZNullResearch				"*Z Null Research*"

CAM1RESEARCH				_("CAM1 RESEARCH")
ADVANCEDRESEARCH				_("ADVANCED RESEARCH")
CAM1VEHICLES				_("CAM1 VEHICLES")
CAM1WEAPONS					_("CAM1 WEAPONS")
CAM1SYSTEMS					_("CAM1 SYSTEMS")
CAM1DEFENSES				_("CAM1 DEFENSES")
CAM1STRUCTURES				_("CAM1 STRUCTURES")
CAM2RESEARCH				_("CAM2 RESEARCH")
CAM2VEHICLES				_("CAM2 VEHICLES")
CAM2CYBORGS					_("CAM2 CYBORGS")
CAM2WEAPONS					_("CAM2 WEAPONS")
CAM2SYSTEMS					_("CAM2 SYSTEMS")
CAM2DEFENSES				_("CAM2 DEFENSES")
CAM2STRUCTURES				_("CAM2 STRUCTURES")
//CAM2-COWall					_("CAM2 Collective Wall")
CAM3RESEARCH				_("CAM3 RESEARCH")
//CAM3VEHICLES				_("CAM3 VEHICLES")
//CAM3CYBORGS					_("CAM3 CYBORGS")
//CAM3WEAPONS					_("CAM3 WEAPONS")
//CAM3SYSTEMS					_("CAM3 SYSTEMS")
//CAM3DEFENSES				_("CAM3 DEFENSES")
//CAM3NOTUSED				_("CAM3 NOT USED")
//CAM3-NXWall					_("CAM3 Nexus Wall")

//R-Comp-IDFAccuracy01			"*IDF Fire Accuracy*"

R-Comp-MissileCodes01			_("Missile Targeting Codes") 
R-Comp-MissileCodes02			_("Second Level Missile Targeting Codes")
R-Comp-MissileCodes03			_("Third Level Missile Firing Codes")


//R-Cyborg-Metals10				_("Cyborg Bonded Laminates")



R-Cyborg-Wpn-BB				_("Bunker Blaster Cyborg")
R-Cyborg-Wpn-Cannon			_("Heavy Gunner Cyborg")
R-Cyborg-Wpn-Flamer			_("Flamer Cyborg")
R-Cyborg-Wpn-MG				_("Machinegunner Cyborg")
R-Cyborg-Wpn-Rocket			"*NOT USED Lancer Cyborg*"
R-Cyborg-Wpn-RotMG-Grd			"*NOT USED Assault Gunner Cyborg*"
R-Cyborg-Wpn-Rail1-Grd			"*NOT USED Needle Gunner Cyborg*"
R-Cyborg-Wpn-ATMiss-Grd			"*NOT USED Scourge Cyborg*"
R-Cyborg-Wpn-Laser1-Grd			"*NOT USED Flashlight Gunner Cyborg*"

R-Cyborg-Legs01				_("Cyborg Propulsion")
R-Cyborg-Legs02				_("Cyborg Propulsion II")
R-Cyborg-Legs03				_("Cyborg Propulsion III")

/* RESEARCH - DEFENSES */
R-Defense-HardcreteWall-NP		_("NP-Hardcrete")


R-Defense-AASite-TwinBof		_("Tornado AA Flak Site")



//R-Defense-IncHow				_("Hellfire Emplacement")


R-Defense-Pillbox03			_("Heavy Machinegun Bunker")

R-DefenssLas				_("Flashlight Emplacement")

R-Defense-RotCannon			"*NOT USED Assault Cannon Emplacement*"


R-Defense-TankTrap02			_("Dragon's Teeth")

R-Defense-Tower03				_("Heavy Machinegun Tower")
R-Defense-Tower04				_("Flamer Tower")
R-Defense-Tower05				_("Lancer Tower")


R-Defense-WallTower05			_("Flamer Hardpoint")
R-Defense-WallTower-HvyFlamer		"*NOT USED Inferno Hardpoint*"


R-Struc-Factory-Cyborg-Upgrade01	"*NOT USED Automated Cyborg Production*"
R-Struc-Factory-Cyborg-Upgrade02	"*NOT USED Automated Cyborg Production Mk2*"
R-Struc-Factory-Cyborg-Upgrade03	"*NOT USED Automated Cyborg Production Mk3*"
R-Struc-Factory-Cyborg-Upgrade04	"*NOT USED Robotic Cyborg Production*"
R-Struc-Factory-Cyborg-Upgrade05	"*NOT USED Robotic Cyborg Production Mk2*"
R-Struc-Factory-Cyborg-Upgrade06	"*NOT USED Robotic Cyborg Production Mk3*"
R-Struc-Factory-Cyborg-Upgrade07	"*NOT USED Advanced Cyborg Production*"
R-Struc-Factory-Cyborg-Upgrade08	"*NOT USED Advanced Cyborg Production Mk2*"
R-Struc-Factory-Cyborg-Upgrade09	"*NOT USED Advanced Cyborg Production Mk3*"
//R-Struc-Factory-Cyborg-Upgrade10	"*NOT USED Self-Replicating Cyborg Production*"
R-Struc-Factory-Upgrade02		"*NOT USED Automated Manufacturing Mk2*"
R-Struc-Factory-Upgrade03		"*NOT USED Automated Manufacturing Mk3*"
R-Struc-Factory-Upgrade05		"*NOT USED Robotic Manufacturing Mk2*"
R-Struc-Factory-Upgrade06		"*NOT USED Robotic Manufacturing Mk3*"
R-Struc-Factory-Upgrade08		"*NOT USED Advanced Manufacturing Mk2*"
R-Struc-Factory-Upgrade10		_("Advanced Manufacturing Mk3")
	
//R-Struc-Materials10			_("High Density Base Structure Materials")


R-Struc-RprFac-Upgrade02		"*NOT USED Automated Repair Facility Mk2*"
R-Struc-RprFac-Upgrade03		"*NOT USED Automated Repair Facility Mk3*"
R-Struc-RprFac-Upgrade05		"*NOT USED Robotic Repair Facility Mk2*"
R-Struc-RprFac-Upgrade07		_("Robotic Repair Facility Mk3")
R-Struc-RprFac-Upgrade08		_("Advanced Repair Facility Mk2")
R-Struc-RprFac-Upgrade09		_("Advanced Repair Facility Mk3")


R-Struc-VTOLPad-Upgrade07		_("Robotic VTOL Rearming Mk4")
R-Struc-VTOLFactory-Upgrade01		"*NOT USED Robotic VTOL Production*"
R-Struc-VTOLFactory-Upgrade02		"*NOT USED Robotic VTOL Production Mk2*"
R-Struc-VTOLFactory-Upgrade03		"*NOT USED Robotic VTOL Production Mk3*"
R-Struc-VTOLFactory-Upgrade04		"*NOT USED Advanced VTOL Production*"
R-Struc-VTOLFactory-Upgrade05		"*NOT USED Advanced VTOL Production Mk2*"
R-Struc-VTOLFactory-Upgrade06		"*NOT USED Advanced VTOL Production Mk3*"

R-Sys-Autorepair-Cyborg			_("Cyborg Self-Repair")
R-Sys-Autorepair-Cyborg-Upgrade01	_("Automated Cyborg Repair Mk2")
R-Sys-Autorepair-Cyborg-Upgrade02	_("Automated Cyborg Repair Mk3")

R-Sys-Autorepair-Def			_("Defenses Self-Repair")
R-Sys-Autorepair-Def-Upgrade01	_("Automated Defenses Repair Mk2")
R-Sys-Autorepair-Def-Upgrade02	_("Automated Defenses Repair Mk3")

R-Sys-Autorepair-Struc			_("Base Structure Self-Repair")
R-Sys-Autorepair-Struc-Upgrade01	_("Automated Base Structure Repair Mk2")
R-Sys-Autorepair-Struc-Upgrade02	_("Automated Base Structure Repair Mk3")

R-Sys-Autorepair-Vehicle		_("Vehicle Self-Repair")
R-Sys-Autorepair-Vehicle-Upgrade01	_("Automated Vehicle Repair Mk2")
R-Sys-Autorepair-Vehicle-Upgrade02	_("Automated Vehicle Repair Mk3")





R-Sys-MobileRepairTurret02		_("Heavy Repair Turret")
R-Sys-MobileRepairTurret-01		_("Mobile Repair Upgrade")
R-Sys-MobileRepairTurret-02		_("Mobile Repair Upgrade Mk2")


R-Sys-CBSensor-Upgrade01		_("CB Sensor Upgrade")
R-Sys-CBSensor-Upgrade02		_("CB Sensor Upgrade Mk2")
R-Sys-CBSensor-Upgrade03		_("CB Sensor Upgrade Mk3")

//R-Sys-VTOL-RadarTower01		_("VTOL Radar Tower")
R-Sys-VTOLCBS-Upgrade01			_("VTOL CB Upgrade")
R-Sys-VTOLCBS-Upgrade02			_("VTOL CB Upgrade Mk2")
R-Sys-VTOLCBS-Upgrade03			_("VTOL CB Upgrade Mk3")
R-Sys-VTOLStrike-Upgrade01		_("VTOL Strike Upgrade")
R-Sys-VTOLStrike-Upgrade02		_("VTOL Strike Upgrade Mk2")
R-Sys-VTOLStrike-Upgrade03		_("VTOL Strike Upgrade Mk3")

R-Sys-SpyTurret-Upgrade01		_("Improved Scrambler")
R-Sys-SpyTurret-Upgrade02		_("Scrambler Turret Mk2")

R-Sys-Resistance				_("Nexus Intruder Program")
R-Sys-Resistance-Upgrade01		_("Nexus Resistance Circuits")
R-Sys-Resistance-Upgrade02		_("Nexus Resistance Circuits Mk2")
R-Sys-Resistance-Upgrade03		_("Nexus Resistance Circuits Mk3")

R-Sys-SensorLock				_("Sensor Lock")


/* RESEARCH - VEHICLES */

	
//R-Vehicle-Engine10			_("Ionizing Turbine Engine")

//R-Vehicle-Metals10			_("Bonded Laminates")
	
R-Vehicle-Prop-Hover02			_("Hover Propulsion II")
//R-Vehicle-Prop-Hover03			_("Hover Propulsion III")
R-Vehicle-Prop-Halftracks02		_("Half-tracked Propulsion II")
//R-Vehicle-Prop-Halftracks03		_("Half-tracked Propulsion III")
R-Vehicle-Prop-Tracks02			_("Tracked Propulsion II")
//R-Vehicle-Prop-Tracks03			_("Tracked Propulsion III")
R-Vehicle-Prop-VTOL02			_("VTOL Propulsion II")
//R-Vehicle-Prop-VTOL03			_("VTOL Propulsion III")
R-Vehicle-Prop-Wheels02			_("Wheeled Propulsion II")
//R-Vehicle-Prop-Wheels03			_("Wheeled Propulsion III")

R-Wpn-AAGun01				_("Tornado Flak Turret")

//R-Wpn-Pbomb					_("Proximity Bomb Turret")
//R-Wpn-SPBomb				_("Proximity Superbomb Turret")




//R-Wpn-Cannon-Damage10			"*ARGH*"



R-Wpn-Energy-Accuracy02			_("Improved Laser Focusing Mk2")
R-Wpn-Energy-Accuracy03			_("Improved Laser Focusing Mk3")


//R-Wpn-Howitzer04-Inc			_("Incendiary Howitzer - Hellfire")





R-Wpn-MG-Damage09				_("Depleted Uranium MG Bullets Mk2")


R-Wpn-MissileSlow-Damage01		_("HEAP Missile Warhead")
R-Wpn-MissileSlow-Damage02		_("HEAP Missile Warhead Mk2")
R-Wpn-MissileSlow-Damage03		_("HEAP Missile Warhead Mk3")
R-Wpn-MissileSlow-ROF01			_("Improved Missile Loading System")

//R-Wpn-Missile-ASM-AT			"*Missile-ASM-AT*"
//R-Wpn-Missile-ASM-BB			_("Devastator Missile")
//R-Wpn-Missile-SAM			"*R-Wpn-Missile-SAM*"



R-Wpn-Rocket-ROF04			_("Rapid Fire Mini-Rockets")
R-Wpn-Rocket-ROF05			_("Rapid Fire Mini-Rockets Mk2")
R-Wpn-Rocket-ROF06			_("Rapid Fire Mini-Rockets Mk3")
R-Wpn-RocketSlow-Accuracy03		"*NOT USED*"
R-Wpn-RocketSlow-Damage01		"*NOT USED*"
R-Wpn-RocketSlow-Damage02		"*NOT USED*"
R-Wpn-RocketSlow-Damage03		"*NOT USED*"
R-Wpn-RocketSlow-Damage04		"*NOT USED*"
R-Wpn-RocketSlow-Damage05		"*NOT USED*"
R-Wpn-RocketSlow-Damage06		"*NOT USED*"
R-Wpn-RocketSlow-ROF01			"*NOT USED*"
R-Wpn-RocketSlow-ROF02			"*NOT USED*"
R-Wpn-RocketSlow-ROF03			"*NOT USED*"


R-Wpn-TUTMG					_("Machinegun Artifact")

/* ENEMY STRUCTURES */
A0CommandCentreNP				_("New Paradigm Command Center")
A0CommandCentreCO				_("Collective Command Center")
A0CommandCentreNE				"*CommandCenterNE*"
GunsOfNav2					"*GunsOfNavaroneTwo*"
GunsOfNav1					"*GunsOfNavaroneOne*"
Sys-NEXUSLinkTOW				"*Sys-NEXUSLinkTOW*"

/* BARBARIAN STRUCTURES */
A0BaBaFlameTowerEnd			_("Scavenger Flame Tower End")
Barrier					"*Barrier*"
// MissileBunker				_("Missile Bunker")
A0BaBaFlameTow				"*A0BaBaFlameTow*"

/* BARBARIAN WEAPONS*/

/* FEATURES */
building4					"*Building 4*"
building5					"*Building 5*"
building6					"*Building 6*"
bridge					_("Bridge")
bridge1					"*Bridge 1*"
bridge5					"*Bridge 5*"
//OilPipe1				"*Oil Pipe 1*"
//OilPipe2				"*Oil Pipe 2*"
//OilPipe3				"*Oil Pipe 3*"
//WreckedHovercraft			_("Wrecked Hovercraft")
WreckedTank				_("Wrecked Tank")
//WreckedBuilding1			"*Wrecked Building 1*"
//Wreckedbuilding2			"*Wrecked Building 2*"
//WreckedBuilding3			"*Wrecked Building 3*"
//WreckedBuilding4			"*Wrecked Building 4*"
//WreckedBuilding				"*Wrecked Building 5*"
WreckedBuilding6			"*Wrecked Building 6*"
WreckedBuilding7			"*Wrecked Building 7*"
WreckedBuilding8			"*Wrecked Building 8*"
WreckedBuilding10			"*Wrecked Building 10*"
WreckedBuilding11			"*Wrecked Building 11*"
WreckedBuilding12			"*Wrecked Building 12*"
WreckedBuilding13			"*Wrecked Building 13*"
WreckedBuilding14			"*Wrecked Building 14*"
WreckedBuilding15			"*Wrecked Building 15*"
//WreckedTankerH				_("Wrecked Tanker")

/* LABS */
Z-Lab01					_("Cyborg Laboratory")
Z-Lab02					_("Advanced Warfare Laboratory")
Z-Lab03					_("Engineering Laboratory")
Z-Lab04					_("Robotics Laboratory")
Z-Lab05					_("Laser Optics Laboratory")
Z-Lab06					_("Electronics Laboratory")
Z-Lab07					_("Chemical Laboratory")
Z-Lab08					"*Advanced Materials Lab*"
Z-Lab09					"*VTOL Lab*"
Z-Lab10					"*Electro-Magnetics Lab*"
Z-Lab11					"*Nanotech Lab*"
Z-Lab12					"*High Energy Lab*"

/* LABS RESEARCH */
R-Lab-AdvWarfare			_("Advanced Warfare")
R-Lab-Chemical				_("Chemical Laboratory")
R-Lab-Cyborg				_("Cyborg Laboratory")
R-Lab-Electronics			_("Electronics Laboratory")
R-Lab-Engineering			_("Engineering Laboratory")
R-Lab-Robotics				_("Robotics Laboratory")

// *New Names...... Keith


//CyborgChain01GroundP0	_("Gunner")
//CyborgRkt01GroundP0		_("Lancer")
//CyborgCannon01GrdP0		_("Heavy Gunner")
//CyborgFlamer01GrdP0		_("Flamer")

// Cyborgs used in PSX scripts - copied to Player2 and renamed P2

//CyborgFlamer01GrdP2		"*CyborgFlamer01GrdP2*"
//CyborgCannon01GrdP2		"*CyborgCannon01GrdP2*"
//CyborgRkt01GroundP2		"*CyborgRkt01GroundP2*"
//CyborgChain01GroundP2	"*CyborgChain01GroundP2*"

// added in by Keith

Howitzer04-Inc-pit		"*Howitzer04-Inc-pit*"
//P0-Emp-IncHow-Pit		_("Hellfire Emplacement")
Rocket-MRL-pit			"*Rocket-MRL-pit*"

//Rocket-HvyA-T-pit		"*Tank Killer-pit*"
