/* Names data file for localisation
 * The id's should be less than 20 chars 
 *
 * Text like this "*text*" is not final and should not be translated.
 */ 

/*
 * VEHICLES
 */

/* FINAL VEHICLES */
ZNULLDESIGN				_("New Design")
NX-L-PulseLas-VTOL			"*NX-L-PulseLas-VTOL*"
NX-L-Missile-A-T-VTOL			"*NX-L-ASMiss-VTOL*"
//NX-L-Rail1-Whl				"*NX-L-Rail1-Whl*"
NX-L-Sens-Hov				"*NX-L-Sens-Hov*"
NX-M-Missile-A-T-Hover			"*NX-M-ATMiss-Hov*"
NX-M-Com-Hover				"*NX-M-Com-Track*"
NX-M-Con-Hover				"*NX-M-Con-Hover*"
NX-L-Repair-Hover			"*NX-L-Repair-Hover*"
NX-M-Link-Hover				"*NX-M-Link-Hover*"
NX-M-Strike-Hover			"*NX-M-Strike-Hover*"
NX-H-CBS-Hover				"*NX-H-CBS-Hover*"
NX-M-VTOLCBS-Hover			"*NX-M-VTOLCBS-Hover*"
NX-M-PulseLas-Hover			"*NX-M-Laser2-Hover*"
NX-H-Rail3-Hover			"*NX-H-Rail3-Hover*"
NX-H-BeamLas-Hover			"*NX-H-BeamLas-Hover*"
NX-L-Missile-MdArt-Hover		"*NX-L-MdMiss-Hover*"
NX-H-HvMiss-Hover			"*NX-H-HvMiss-Hover*"
NX-L-Rail1-VTOL				"*NX-L-Rail1-VTOL*"
NX-H-Rail2-VTOL				"*NX-H-Rail2-VTOL*"

// NEXUS only Cyborgs
Cyb-NXCybRail1-GRD			"*Cyb-NXCybRail1-GRD*"
Cyb-NXCybATmiss-GRD			"*Cyb-NXCybATmiss-GRD*"
Cyb-NXPulseLas-GRD			"*Cyb-NXPulseLas-GRD*"

/* PLAYER 4 - FORCE EDITOR VEHICLES */
ViperLtCannonWheels			_("Light Cannon Viper Wheels")
ViperLtCannonHTracks		_("Light Cannon Viper Half-tracks")
ViperFlameWheels			_("Flamer Viper Wheels")
ViperSensorWheels			_("Sensor Turret Viper Wheels")
ViperLtCannonTracks			_("Light Cannon Viper Tracks")

CobraHMGHalfTrack			_("Heavy Machinegun Cobra Half-tracks")
CobraMortarHalfTrack			_("Mortar Cobra Half-tracks")
CobraLtCnTrks				_("Light Cannon Cobra Tracks")

/* PLAYER 5 - MULTIPLAYER VEHICLES */
ConstructorDroid			_("Truck")
CyborgRotMgGround			_("Assault Gunner")

/* PLAYER 6 - TEST VEHICLES */

// new player cyborgs - for Pete

ATESTVEHICLE				"*TEST VEHICLE*"
ATESTVTOL				"*TEST VTOL*"
ASPOTTER				"*SPOTTER*"
AVTOLSPOTTER				"*VTOL SPOTTER*"
Superbody				"Kev's Super Body"
Superbody2				"Alex's Super Body"
Superweapon				"Kev's Super Weapon"
Superweapon2				"Alex's Super Weapon"
SuperTank				"Kev's Super Tank"
SuperTank2				"Alex's Killa"

ViperMedCnTrks				_("Medium Cannon Viper Tracks")
ViperRepairWheels			_("Repair Turret Viper Wheels")
ViperRepairHalftrack			_("Repair Turret Viper Half-track")
ViperMG01Wheels				_("Machinegun Viper Wheels")
ViperMG02Wheels				_("Twin Machinegun Viper Wheels")
ViperMG02Halftrack			_("Twin Machinegun Viper Half-tracks")
ViperHMGHalftrack			_("Heavy Machinegun Viper Half-tracks")
ViperHMGTracks				_("Heavy Machinegun Viper Tracks")
ViperLtA-Twheels			_("Lancer Viper Wheels")
ViperPODWheels				_("Mini-Rocket Viper Wheels")
ViperMRLWheels				_("Mini-Rocket Array Viper Wheels")
ViperBBWheels				_("Bunker Buster Rockets Viper Wheels")

CobraMedCnTrks				_("Medium Cannon Cobra Tracks")
CobraHvyCnTrks				_("Heavy Cannon Cobra Tracks")
CobraSpadeTracks			_("Cobra Truck")
CobraSensorHalftrack			_("Sensor Turret Cobra Half-tracks")
CobraFlameTracks			_("Flamer Cobra Tracks")
CobraHvyMortarHalftrack			_("Bombard Cobra Half-tracks")
CobraComHalftrack			_("Command Turret Cobra Half-tracks")
CobraLtA-Thalftrack			_("Lancer Cobra Half-tracks")
CobraMRLHalftrack			_("Mini-Rocket Array Cobra Half-tracks")

PythonLtCnTrks				_("Light Cannon Python Tracks")
PythonMedCnTrks				_("Medium Cannon Python Tracks")
PythonHvyCnTrks				_("Heavy Cannon Python Tracks")
PythonComTracks				_("Command Turret Python Tracks")

/* PLAYER 7 - SCAVENGER VEHICLES */
BaBaPeople				_("Scavenger")
BabaJeep				_("Jeep")
BarbarianTrike				_("Trike")
BarbarianBuggy				_("Buggy")
BarbarianRKBuggy			_("Rocket Buggy")
BabaRKJeep				_("Rocket Jeep")
BabaFireTruck				_("Fire Truck")
BabaPickUp				_("Pick-Up Truck")
BabaFireCan				_("Cannon Fire Truck")
BabaBusCan				_("School Bus")
BaBaCivilian				_("Civilian")

/* FINAL CYBORGS */
CyborgChain01Ground			_("Machinegunner")
CyborgFlamer01Grd			_("Flamer")
CyborgRkt01Ground			_("Lancer")
CyborgCannon01Grd			_("Heavy Gunner")

// Cyborgs - shared 
Cyb-Chain-GROUND			_("Machinegunner")
Cyb-Flamer-GROUND			_("Cyborg Flamer")
Cyb-Cannon-GROUND			_("Heavy Gunner")
Cyb-Rocket-GROUND			_("Lancer")
Cyb-RotMG-GROUND			_("Assault Gunner")

/* TEST CYBORGS */	
CyborgCan01Air				"*TEST - Cyborg Cannon01 Air*"
CyborgCan01Ground			_("Cyborg Cannon")
CyborgRkt01Air				"*TEST - Cyborg Rocket01 Air*"

/*
 * COMPONENTS *
 */

/* BODIES */
Body1REC				_("Viper")
Body2SUP				_("Leopard")
Body3MBT				_("Retaliation")
Body4ABT				_("Bug")
Body5REC				_("Cobra")
Body6SUPP				_("Panther")
Body7ABT				_("Retribution")
Body8MBT				_("Scorpion")
Body9REC				_("Tiger")
Body10MBT				_("Vengeance")
Body11ABT				_("Python")
Body12SUP				_("Mantis")

TransporterBody				_("Transport Body")
ZNULLBODY				"*Z NULL BODY*"

B1BaBaPerson01				"*BaBa Body*"
BabaJeepBody				"*Jeep Body*"
B3body-sml-buggy01			"*Buggy Body*"
B4body-sml-trike01			"*Trike Body*"
B3bodyRKbuggy01				"*Rocket Buggy Body*"
BusBody					"*School Bus Body*"
FireBody				"*Fire Engine Body*"

/* Test Cyborg Body Parts */
//CyborgCan1Air				"*CyborgCannon1Air*"
//CyborgCan1Ground			"*CyborgCannon1Ground*"
CyborgChain1Ground			"*CyborgChaingun1Ground*"
//CyborgFlame1Ground			"*CyborgFlamer1Ground*"
//CyborgRkt1Air				"*CyborgRocket1Air*"
CyborgRkt1Ground			"*CyborgRocket1Ground*"
NX-Cyb-Rail1				"*NX-Cyb-Rail1*"
CyborgRotMG				"*CyborgRotMG*"
//NX-CybMissGrnd				"*NX-CybMissGrnd*"
NX-CybLasGrnd				"*NX-CybLasGrnd*"
//NX-CybChain1Grnd			"*NX-CybChain1Grnd*"

// New Cyborg Bodies - Unique body for EACH template
CyborgCannonGrd				"*Cyborg Cannon*"
CyborgFlamerGrd				"*Cyborg Flamer*"
CybFlamer01CGrd				"*Cyborg Flamer*"
CybRotMgGrd				"*Cyborg Assault Gun*"

/* BRAIN */
ZNULLBRAIN				"Z NULL BRAIN"
StandardBrain				"*TEST - Standard Brain*"
ConstructionBrain			"*TEST - ConstructionBrain*"
CommandBrain01				_("Command Turret")

/* PROGRAM */
ZNULLPROGRAM				"Z NULL PROGRAM"
program1				"*TEST - program #1*"
Construct				"*TEST - Construct*"
RadarProgram				"*TEST - Radar Program*"
Demolish				_("Demolish")

/* CONSTRUCTION */	
ZNULLCONSTRUCT				"Z NULL CONSTRUCT"
Spade1Mk1				_("Truck")

/* PROPULSION */
ZNULLPROP				"Z NULL PROP"
wheeled01				_("Wheels")
tracked01				_("Tracks")
hover01					_("Hover")
V-Tol					_("VTOL")
HalfTrack				_("Half-tracks")
Naval					_("Naval")

/*BABARIAN PROPULSIONS*/
BaBaProp				"BaBaProp"
BaBaLegs				"BaBaLegs"

/*CYBORG PROPULSIONS*/
CyborgLegs				_("Cyborg Propulsion")

/* VEHICLE AUTO-REPAIR */
ZNULLREPAIR				"Z NULL REPAIR"
LightRepair1				_("Repair Turret")

/* ECM */
ZNULLECM				"Z NULL ECM"
ECM1PylonMk1				_("Jammer Tower")
ECM1TurretMk1				_("Jammer Turret")
R-Sys-ECM-Upgrade01			_("Electronic Countermeasures")
R-Sys-ECM-Upgrade02			_("Electronic Countermeasures Mk2")

/* SENSORS */
ZNULLSENSOR				"Z NULL SENSOR"
BaBaSensor				"*BaBa Default Sensor*"
CCSensor				"*CC Sensor*"
DefaultSensor1Mk1			"*Default Sensor*"
NavGunSensor				"*Nexus Sensor*"
TowerSensor			"*Tower Sensor*"
FortressSensor			"*Fortress Sensor*"
RadarDetector				_("Radar Detector")
SensorTower1Mk1				_("Sensor Tower")
SensorTower2Mk1				_("Hardened Sensor Tower")
SensorTurret1Mk1			_("Sensor Turret")
Sys-CBTower01				"*CB Tower*"
Sys-VTOLCBTower01			_("VTOL CB Radar Tower")
Sys-VTOLRadarTower01			_("VTOL CB Radar Tower")
UplinkSensor				_("Uplink Sensor")
Sys-RadarDetector01			_("Radar Detector Tower")

Sys-CBTurret01				_("CB Radar Turret")
Sys-VstrikeTurret01			_("VTOL Strike Turret")
Sys-VTOLCBTurret01			_("VTOL CB Radar Turret")
Sys-NXLinkTurret01			_("Nexus Link")

SpyTurret01				_("Nexus Link Turret")

/* PLAYER STRUCTURES */
A0ResourceExtractor			_("Oil Derrick")
A0CommandCentre				_("Command Center")
A0LightFactory				_("Factory")
A0FacMod1				_("Factory Module")
A0PowerGenerator			_("Power Generator")
A0PowMod1				_("Power Module")
A0ResearchFacility			_("Research Facility")
A0ResearchModule1			_("Research Module")
A0ADemolishStructure			_("Demolish Structure")
DemolishStructure			_("Demolish")
A0RepairCentre				_("Repair Center")
A0ComDroidControl			_("Command Relay Center")
A0HardcreteMk1CWall			_("Hardcrete Corner Wall")
A0HardcreteMk1Wall			_("Hardcrete Wall")
A0HardcreteMk1Gate			_("Hardcrete Gate")

A0VTolFactory1				_("VTOL Factory")
A0CyborgFactory				_("Cyborg Factory")

/* DEFENSIVE STRUCTURES */
Tower-Projector				_("Inferno Bunker") //previously "Inferno Guard Tower"
WallTower-Projector			_("Inferno Hardpoint")
Emplacement-RotMor			_("Pepperpot Pit")
Emplacement-RotHow			_("Hellstorm Emplacement")
//SuperEmplacement			"*Super Gun*"
//PlasmaEmplacement			"*Plasma Weapon*"

AASite-TwinBof				_("Tornado AA Site")
AASite-QuadBof				_("AA Flak Cannon Emplacement")
AASite-QuadMg1				_("Hurricane AA Site")
AASite-QuadRotMg			_("Whirlwind AA Site")

Emplacement-Rocket06-IDF		_("Ripple Rocket Battery")
//Tower-Missile1				_("Lancer Guard Tower")
//Tower-Missile2				_("Mini-Rocket Guard Tower")
Tower-VulcanCan				_("Assault Cannon Guard Tower")
Tower-RotMg				_("Assault Gun Emplacement")
Wall-RotMg				_("Assault Gun Hardpoint")
Wall-VulcanCan				_("Assault Cannon Hardpoint")

/*SENSOR TOWERS*/
Sys-SensoTower01			_("Sensor Tower")
Sys-SensoTower02			_("Hardened Sensor Tower")
//Sys-ECMTower01				_("Jammer Tower")
Sys-CB-Tower01				_("CB Tower")
Sys-VTOL-CB-Tower01			_("VTOL CB Tower")
Sys-VTOL-RadarTower01			_("VTOL Strike Tower")

/*WALLTOWERS*/
WallTower01				_("Heavy Machinegun Hardpoint")
WallTower02				_("Light Cannon Hardpoint")
WallTower03				_("Medium Cannon Hardpoint")
WallTower04				_("Heavy Cannon Hardpoint")
WallTower05				_("Flamer Hardpoint")
WallTower06				_("Lancer Hardpoint")

GuardTower1				_("Machinegun Guard Tower")
GuardTower2				_("Twin Machinegun Guard Tower")
GuardTower3				_("Heavy Machinegun Tower")
GuardTower4				_("Flamer Guard Tower")
GuardTower5				_("Lancer Tower")
GuardTower6				_("Mini-Rocket Tower")

/*PILLBOXES*/
PillBox1				_("Machinegun Bunker")
PillBox2				_("Twin Machinegun Bunker")
PillBox3				_("Heavy Machinegun Bunker")
PillBox4				_("Light Cannon Bunker")
PillBox5				_("Flamer Bunker")
PillBox6				_("Lancer Bunker")

/*TANKTRAPS*/
A0TankTrap				_("Tank Traps")
A0TankTrap2				_("Dragon's Teeth")
TankTrapC				_("Tank Traps")
TankTrap2C				_("Dragon's Teeth")

/*VTOL STRUCTURES*/
A0VtolPad				_("VTOL Rearming Pad")

/* EMPLACEMENTS */
Emplacement-Howitzer105			_("Howitzer Emplacement")
Emplacement-PrisLas			_("Flashlight Emplacement")
//Emplacement-Super			"*Emplacement-SuperGun*"
WallTower-PulseLas			_("Pulse Laser Hardpoint")
WallTower-Rail2				_("Rail Gun Hardpoint")
GuardTower-BeamLas			_("Pulse Laser Tower")
GuardTower-ATMiss			_("Scourge Missile Tower")
GuardTower-Rail1			_("Needle Gun Tower")
Emplacement-Rail3			_("Gauss Cannon Emplacement")

/* PLAYER WEAPONS */
Cannon1Mk1				_("Light Cannon")
Cannon2A-TMk1				_("Medium Cannon")
Cannon375mmMk1				_("Heavy Cannon")
Cannon4AUTOMk1				_("Hyper Velocity Cannon")
Cannon5VulcanMk1			_("Assault Cannon")

Flame1Mk1				_("Flamer")
Flame2					_("Inferno")

Howitzer105Mk1				_("Howitzer")
Howitzer105Mk1-Pit			_("Howitzer Emplacement")
Howitzer150Mk1				_("Ground Shaker")
Howitzer150Mk1-Pit			_("Ground Shaker Emplacement")
Howitzer03-Rot				_("Hellstorm")
Howitzer03-Rot-Pit			_("Hellstorm Emplacement")
//Howitzer04-Inc				_("Hellfire")

//Laser1PRISMATICMk1			_("Flashlight")
Laser2PULSEMk1				_("Pulse Laser")


MG1Mk1				_("Machinegun")
MG1-Pillbox				_("Machinegun Bunker")
MG2Mk1				_("Twin Machinegun")
MG2-Pillbox				_("Twin Machinegun Bunker")
MG3Mk1				_("Heavy Machinegun")
MG3-Pillbox				_("Heavy Machinegun Bunker")
MG4ROTARYMk1			_("Assault Gun")

//Missile-BB				_("Devastator Missile")
Missile-A-T				_("Scourge Missile")
Missile-MdArt			_("Seraph Missile Array")
Missile-HvySAM			_("Vindicator SAM")
Missile-HvyArt			_("Archangel Missile")

Missile-LtSAM			_("Avenger SAM")
//Missile-VTOL-BB			_("VTOL Devastator Missile")
Missile-VTOL-AT			_("VTOL Scourge Missile")

Mortar1Mk1				_("Mortar")
Mortar1Mk1-Pit			_("Mortar Emplacement")
Mortar2Mk1				_("Bombard")
Mortar2Mk1-Pit			_("Bombard Emplacement")
Mortar3ROTARYMk1			_("Pepperpot")
Mortar3ROTARYMk1-Pit		_("Pepperpot Emplacement")
RailGun1Mk1				_("Needle Gun")
RailGun2Mk1				_("Rail Gun")
RailGun3Mk1				_("Gauss Cannon")
Rocket-LtA-T			_("Lancer")
Rocket-MRL				_("Mini-Rocket Array")
Rocket-BB				_("Bunker Buster")
//Rocket04-Scud			"*Earthshaker*"
Rocket-Pod				_("Mini-Rocket Pod")
Rocket-IDF				_("Ripple Rockets")
Rocket-HvyA-T			_("Tank Killer")
Rocket-VTOL-BB			_("VTOL Bunker Buster")
Rocket-VTOL-Pod			_("VTOL Mini-Rocket")
Rocket-VTOL-LtA-T			_("VTOL Lancer")
Rocket-VTOL-HvyA-T		_("VTOL Tank Killer")

CyborgCannon			_("Heavy Gunner")
CyborgCannon01			"*Cyborg Cannon*"
CyborgRocket			_("Lancer")
CyborgChaingun			_("Machinegunner")
CyborgFlamer01				_("Flamer")

TUTMG						_("Machinegun")

CommandTurret1				_("Command Turret")

AAGun1Mk1					_("Tornado Flak Turret")
AAGun2Mk1					_("AA Flak Cannon")
AAGun2Mk1-VTOL				_("VTOL Flak Cannon")

//Supergun					"*Supergun*"
PlasmaHeavy					"*Heavy Plasma Launcher*"

QuadRotAAGun				_("Whirlwind AA Turret")
QuadMg1AAGun				_("Hurricane AA Turret")
NavaroneGun					"*NavaroneGun*"

NX-CyborgMiss				"*NX-CyborgMiss*"
NX-CyborgChaingun				"*NX-CyborgChaingun*"
NX-CyborgPulseLas				"*NX-CyborgPulseLas*"

LasSat					_("Laser Satellite Command Post")

Cannon1-VTOL				_("VTOL Cannon")
Cannon4AUTO-VTOL				_("VTOL Hyper Velocity Cannon")
Cannon5Vulcan-VTOL			_("VTOL Assault Cannon")
Laser2PULSE-VTOL				_("VTOL Pulse Laser")

MG1-VTOL					_("VTOL Machinegun")
MG2-VTOL					_("VTOL Twin Machinegun")
MG3-VTOL					_("VTOL Heavy Machinegun")
MG4ROTARY-VTOL				_("VTOL Assault Gun")
RailGun1-VTOL				_("VTOL Needle Gun")
RailGun2-VTOL				_("VTOL Rail Gun")

PBomb						_("Proximity Bomb Turret")
SPBomb					_("Proximity Superbomb Turret")

Bomb1-VTOL-LtHE				_("VTOL Cluster Bomb Bay")
Bomb2-VTOL-HvHE				_("VTOL Heap Bomb Bay")
Bomb3-VTOL-LtINC				_("VTOL Phosphor Bomb Bay")
Bomb4-VTOL-HvyINC				_("VTOL Thermite Bomb Bay")
											 
// Collective Specific Defensive Structures
CollectiveWall				_("Collective Wall")
CollectiveCWall				_("Collective Corner Wall")
CO-Tower-MG3				"*CO-Tower-MG3*"
CO-Tower-RotMG				"*CO-Tower-RotMG*"
CO-Tower-MdCan				"*CO-Tower-MdCan*"
CO-WallTower-HvCan			"*CO-WallTower-HvCan*"
CO-WallTower-RotCan			"*CO-WallTower-RotCan*"
CO-Tower-HVCan				"*CO-Tower-HVCan*"
CO-Tower-HvFlame				"*CO-Tower-HvFlame*"
CO-Tower-HvATRkt				"*CO-Tower-HvATRkt*"
CO-Tower-LtATRkt				"*CO-Tower-LtATRkt*"
CO-Emp-Mortar2-Pit			"*CO-Emp-Mortar2-Pit*"
CO-Emp-How105-Pit				"*CO-Emp-How105-Pit*"
//CO-Emp-How150-Pit				"*CO-Emp-How150-Pit*"
//CO-Emp-RotHow-Pit				"*CO-Emp-RotHow-Pit*"
CO-Emp-RotMortar-Pit			"*CO-Emp-RotMortar-Pit*"
// CO-AASite-Flak1				"*CO-AASite-Flak1*"
// CO-AASite-Flak2				"*CO-AASite-Flak2*"
// CO-AASite-QuadMg1				"*CO-AASite-QuadMg1*"
// CO-AASite-QuadRotMg			"*CO-AASite-QuadRotMg*"
CO-AASite-SAM1				"*CO-AASite-SAM1*"

// NEXUS Specific Defensive Structures
NEXUSWall					_("Nexus Wall")
NEXUSCWall					_("Nexus Corner Wall")
NX-Tower-Rail1				"*NX-Tower-Rail1*"
NX-Tower-ATMiss				"*NX-Tower-ATMiss*"
NX-Tower-PulseLas				"*NX-Tower-PulseLas*"
NX-WallTower-Rail2			"*NX-WallTower-Rail2*"
NX-WallTower-BeamLas			"*NX-WallTower-BeamLas*"
NX-WallTower-Rail3			"*NX-WallTower-Rail3*"
NX-Emp-MedArtMiss-Pit			"*NX-Emp-MedArtMiss-Pit*"
NX-Emp-MultiArtMiss-Pit			"*NX-Emp-MultiArtMiss-Pit*"
NX-Emp-Plasma-Pit				"*NX-Emp-Plasma-Pit*"
NX-AASite-SAM1				"*NX-AASite-SAM1*"
NX-AASite-SAM2				"*NX-AASite-SAM2*"

/*
 * RESEARCH TOPICS
 */
ZNullResearch				"*Z Null Research*"

CAM1RESEARCH				_("CAM1 RESEARCH")
ADVANCEDRESEARCH				_("ADVANCED RESEARCH")
CAM1VEHICLES				_("CAM1 VEHICLES")
CAM1WEAPONS					_("CAM1 WEAPONS")
CAM1SYSTEMS					_("CAM1 SYSTEMS")
CAM1DEFENSES				_("CAM1 DEFENSES")
CAM1STRUCTURES				_("CAM1 STRUCTURES")
CAM2RESEARCH				_("CAM2 RESEARCH")
CAM2VEHICLES				_("CAM2 VEHICLES")
CAM2CYBORGS					_("CAM2 CYBORGS")
CAM2WEAPONS					_("CAM2 WEAPONS")
CAM2SYSTEMS					_("CAM2 SYSTEMS")
CAM2DEFENSES				_("CAM2 DEFENSES")
CAM2STRUCTURES				_("CAM2 STRUCTURES")
//CAM2-COWall					_("CAM2 Collective Wall")
CAM3RESEARCH				_("CAM3 RESEARCH")
//CAM3VEHICLES				_("CAM3 VEHICLES")
//CAM3CYBORGS					_("CAM3 CYBORGS")
//CAM3WEAPONS					_("CAM3 WEAPONS")
//CAM3SYSTEMS					_("CAM3 SYSTEMS")
//CAM3DEFENSES				_("CAM3 DEFENSES")
//CAM3NOTUSED				_("CAM3 NOT USED")
//CAM3-NXWall					_("CAM3 Nexus Wall")

//R-Comp-IDFAccuracy01			"*IDF Fire Accuracy*"
R-Comp-CommandTurret01			_("Command Turret")
R-Comp-SynapticLink			_("Synaptic Link")

R-Comp-MissileCodes01			_("Missile Targeting Codes") 
R-Comp-MissileCodes02			_("Second Level Missile Targeting Codes")
R-Comp-MissileCodes03			_("Third Level Missile Firing Codes")

R-Cyborg-Armor-Heat01			_("Cyborg Thermal Armor")
R-Cyborg-Armor-Heat02			_("Cyborg Thermal Armor Mk2")
R-Cyborg-Armor-Heat03			_("Cyborg Thermal Armor Mk3")
R-Cyborg-Armor-Heat04			_("Cyborg High Intensity Thermal Armor")
R-Cyborg-Armor-Heat05			_("Cyborg High Intensity Thermal Armor Mk2")
R-Cyborg-Armor-Heat06			_("Cyborg High Intensity Thermal Armor Mk3")

R-Cyborg-Metals01				_("Cyborg Composite Alloys")
R-Cyborg-Metals02				_("Cyborg Composite Alloys Mk2")
R-Cyborg-Metals03				_("Cyborg Composite Alloys Mk3")
R-Cyborg-Metals04				_("Cyborg Dense Composite Alloys")
R-Cyborg-Metals05				_("Cyborg Dense Composite Alloys Mk2")
R-Cyborg-Metals06				_("Cyborg Dense Composite Alloys Mk3")
R-Cyborg-Metals07				_("Cyborg Superdense Composite Alloys")
R-Cyborg-Metals08				_("Cyborg Superdense Composite Alloys Mk2")
R-Cyborg-Metals09				_("Cyborg Superdense Composite Alloys Mk3")
//R-Cyborg-Metals10				_("Cyborg Bonded Laminates")

R-Cyborg-Transport			_("Cyborg Transport")

SuperTransport			_("Super Transport")
R-SuperTransport		_("Super Transport")
