/* Names data file for localisation
 * The id's should be less than 20 chars 
 *
 * Text like this "*text*" is not final and should not be translated.
 */ 

/*
 * VEHICLES
 */

/* FINAL VEHICLES */
ZNULLDESIGN				_("New Design")
NX-L-PulseLas-VTOL			"*NX-L-PulseLas-VTOL*"
NX-L-Missile-A-T-VTOL			"*NX-L-ASMiss-VTOL*"
//NX-L-Rail1-Whl				"*NX-L-Rail1-Whl*"
NX-L-Sens-Hov				"*NX-L-Sens-Hov*"
NX-M-Missile-A-T-Hover			"*NX-M-ATMiss-Hov*"
NX-M-Com-Hover				"*NX-M-Com-Track*"
NX-M-Con-Hover				"*NX-M-Con-Hover*"
NX-L-Repair-Hover			"*NX-L-Repair-Hover*"
NX-M-Link-Hover				"*NX-M-Link-Hover*"
NX-M-Strike-Hover			"*NX-M-Strike-Hover*"
NX-H-CBS-Hover				"*NX-H-CBS-Hover*"
NX-M-VTOLCBS-Hover			"*NX-M-VTOLCBS-Hover*"
NX-M-PulseLas-Hover			"*NX-M-Laser2-Hover*"
NX-H-Rail3-Hover			"*NX-H-Rail3-Hover*"
NX-H-BeamLas-Hover			"*NX-H-BeamLas-Hover*"
NX-L-Missile-MdArt-Hover		"*NX-L-MdMiss-Hover*"
NX-H-HvMiss-Hover			"*NX-H-HvMiss-Hover*"
//NX-L-Missile-BB-VTOL			"*NX-L-BBMiss-VTOL*"
NX-L-Rail1-VTOL				"*NX-L-Rail1-VTOL*"
NX-H-Rail2-VTOL				"*NX-H-Rail2-VTOL*"
//NX-M-HvySAM-Htrack			"*NX-M-HvySAM-Htrack*"

// NEXUS only Cyborgs
NX-Cyb-HvMiss-JUMP			"*NX-Cyb-HvMiss-JUMP*"
NX-Cyb-PulseLas-JUMP	  		"*NX-Cyb-PulseLas-JUMP*"
NX-Cyb-Rail1-JUMP			"*NX-Cyb-JUMP*"
NX-Cyb-Miss-JUMP			"*NX-Cyb-Miss-JUMP*"
Cyb-NXCybRail1-GRD			"*Cyb-NXCybRail1-GRD*"
Cyb-NXCybATmiss-GRD			"*Cyb-NXCybATmiss-GRD*"
Cyb-NXPulseLas-GRD			"*Cyb-NXPulseLas-GRD*"
Cyb-NXCybRail1-JUMP			"*Cyb-NXCybRail1-JUMP*"
Cyb-NXCybATmiss-JUMP			"*Cyb-NXCybATmiss-JUMP*"
Cyb-NXPulseLas-JUMP			"*Cyb-NXPulseLas-JUMP*"

/* PLAYER 4 - FORCE EDITOR VEHICLES */
ViperLtCannonWheels			_("Light Cannon Viper Wheels")
ViperFlameWheels			_("Flamer Viper Wheels")
ViperSensorWheels			_("Sensor Turret Viper Wheels")
ViperLtCannonTracks			_("Light Cannon Viper Tracks")

CobraHMGHalfTrack			_("Heavy Machinegun Cobra Half-tracks")
CobraMortarHalfTrack			_("Mortar Cobra Half-tracks")
CobraLtCnTrks				_("Light Cannon Cobra Tracks")

/* PLAYER 5 - MULTIPLAYER VEHICLES */
ConstructorDroid			_("Truck")

/* PLAYER 6 - TEST VEHICLES */

// new player cyborgs - for Pete

Cyb-CybChnGun-JUMP			"*Cyb-CybChnGun-JUMP*"
ATESTVEHICLE				"*TEST VEHICLE*"
ATESTVTOL				"*TEST VTOL*"
ASPOTTER				"*SPOTTER*"
AVTOLSPOTTER				"*VTOL SPOTTER*"
Superbody				"*Kev's Super Body*"
Superweapon				"*Kev's Super Weapon*"
Superweapon2				"*Alex's Super Weapon*"
SuperTank				"*Kev's Super Tank*"
SuperTank2				"*Alex's Killa*"

ViperMedCnTrks				_("Medium Cannon Viper Tracks")
ViperRepairWheels			_("Repair Turret Viper Wheels")
ViperRepairHalftrack			_("Repair Turret Viper Half-tracks")
ViperMG01Wheels				_("Machinegun Viper Wheels")
ViperMG02Wheels				_("Twin Machinegun Viper Wheels")
ViperMG02Halftrack			_("Twin Machinegun Viper Half-tracks")
ViperHMGHalftrack			_("Heavy Machinegun Viper Half-tracks")
ViperHMGTracks				_("Heavy Machinegun Viper Tracks")
ViperLtA-Twheels			_("Lancer Viper Wheels")
ViperPODWheels				_("Mini-Rocket Viper Wheels")
ViperMRLWheels				_("Mini-Rocket Artillery Viper Wheels")
ViperBBWheels				_("Bunker Buster Viper Wheels")

CobraMedCnTrks				_("Medium Cannon Cobra Tracks")
CobraHvyCnTrks				_("Heavy Cannon Cobra Tracks")
CobraSpadeTracks			_("Cobra Truck")
CobraSensorHalftrack			_("Sensor Cobra Half-tracks")
CobraFlameTracks			_("Flamer Cobra Tracks")
CobraHvyMortarHalftrack			_("Bombard Cobra Half-tracks")
CobraComHalftrack			_("Command Turret Cobra Half-tracks")
CobraLtA-Thalftrack			_("Lancer Cobra Half-tracks")
CobraMRLHalftrack			_("Mini-Rocket Artillery Cobra Half-tracks")

PythonLtCnTrks				_("Light Cannon Python Tracks")
PythonMedCnTrks				_("Medium Cannon Python Tracks")
PythonHvyCnTrks				_("Heavy Cannon Python Tracks")
PythonComTracks				_("Command Turret Python Tracks")

/* PLAYER 7 - SCAVENGER VEHICLES */
BaBaPeople				_("Scavenger")
BabaJeep				_("Jeep")
BarbarianTrike				_("Trike")
BarbarianBuggy				_("Buggy")
BarbarianRKBuggy			_("Rocket Buggy")
BabaRKJeep				_("Rocket Jeep")
BabaFireTruck				_("Fire Truck")
BabaPickUp				_("Pick-Up Truck")
BabaFireCan				_("Cannon Fire Truck")
BabaBusCan				_("School Bus")
BaBaCivilian				_("Civilian")

/* FINAL CYBORGS */
CyborgChain01Ground			_("Machinegunner")
CyborgFlamer01Grd			_("Flamer")
CyborgRkt01Ground			_("Lancer")
CyborgCannon01Grd			_("Heavy Gunner")

// Cyborgs - shared 
Cyb-Chain-GROUND			_("Machinegunner")
Cyb-Flamer-GROUND			_("Cyborg Flamer")
Cyb-Cannon-GROUND			_("Heavy Gunner")
Cyb-Rocket-GROUND			_("Lancer")
Cyb-RotMG-GROUND			_("Assault Gunner")

/* TEST CYBORGS */	
CyborgCan01Air				"*TEST - Cyborg Cannon01 Air*"
CyborgCan01Ground			_("Cyborg Cannon")
CyborgRkt01Air				"*TEST - Cyborg Rocket01 Air*"

/*
 * COMPONENTS *
 */

/* BODIES */
Body1REC				_("Viper")
Body2SUP				_("Leopard")
Body3MBT				_("Retaliation")
Body4ABT				_("Bug")
Body5REC				_("Cobra")
Body6SUPP				_("Panther")
Body7ABT				_("Retribution")
Body8MBT				_("Scorpion")
Body9REC				_("Tiger")
Body10MBT				_("Vengeance")
Body11ABT				_("Python")
Body12SUP				_("Mantis")

TransporterBody				_("Transport Body")
ZNULLBODY				"*Z NULL BODY*"

B1BaBaPerson01				"*BaBa Body*"
B2JeepBody				"*Jeep Body*"
B3body-sml-buggy01			"*Buggy Body*"
B4body-sml-trike01			"*Trike Body*"
B3bodyRKbuggy01				"*Rocket Buggy Body*"
B2RKJeepBody				"*Rocket Jeep Body*"
BusBody					"*School Bus Body*"
FireBody				"*Fire Engine Body*"

/* Test Cyborg Body Parts */
//CyborgCan1Air				"*CyborgCannon1Air*"
//CyborgCan1Ground			"*CyborgCannon1Ground*"
CyborgChain1Ground			"*CyborgChaingun1Ground*"
//CyborgFlame1Ground			"*CyborgFlamer1Ground*"
//CyborgRkt1Air				"*CyborgRocket1Air*"
CyborgRkt1Ground			"*CyborgRocket1Ground*"
NX-Cyb-Rail1				"*NX-Cyb-Rail1*"
CyborgRotMG				"*CyborgRotMG*"
//NX-CybMissGrnd				"*NX-CybMissGrnd*"
NX-CybLasGrnd				"*NX-CybLasGrnd*"
//NX-CybChain1Grnd			"*NX-CybChain1Grnd*"

// New Cyborg Bodies - Unique body for EACH template
CyborgCannonGrd				"*Cyborg Cannon*"
//				"*Cyborg Machinegun*"
CyborgFlamerGrd				"*Cyborg Flamer*"
//CyborgChn01Ground			"*Cyborg Machinegun*"
CybFlamer01CGrd				"*Cyborg Flamer*"
//CybRocketGrd				"*Cyborg Rocket*"	
CybRotMgGrd				"*Cyborg Assault Gun*"

//CyborgNXATMissGrd			"*CyborgNXATMissGrd*"
//CyborgNXATMissJmp			"*CyborgNXATMissJ*"
//			"*CybNXCybRail1Grd*"	
//CybNXCybRail1Jmp			"*CybNXCybRail1J*"
CybNXPulseLasJmp			"*CybNXPulseLasJ*"
//CybNXHvMissJmp				"*CybNXHvMissJ*"		
CybNXMissJmp				"*CybNXMissJmp*"
//CybNXPulseLasJmp			"*CybNXPulseLasJ*"
CybNXRail1Jmp				"*CybNXRail1Jmp*"
//CybNXPulseLaserGrd			"*CybNXPulseLaserJ*"
//NX-Cyb-HvMissile-JUMP			"*NX-Cyb-HvMissile-J*"
//NX-Cyb-Missile-JUMP			"*NX-CybMissGrnd*"
//NX-CybLasGrnd				"*NX-CybLasGrnd*"
//NX-Cyb-Rail1-JUMP			"*NX-Cyb-J*"

/* BRAIN */
ZNULLBRAIN				"Z NULL BRAIN"
StandardBrain				"*TEST - Standard Brain*"
ConstructionBrain			"*TEST - ConstructionBrain*"
CommandBrain01				_("Command Turret")

/* PROGRAM */
ZNULLPROGRAM				"Z NULL PROGRAM"
program1				"*TEST - program #1*"
Construct				"*TEST - Construct*"
RadarProgram				"*TEST - Radar Program*"
Demolish				_("Demolish")

/* CONSTRUCTION */	
ZNULLCONSTRUCT				"Z NULL CONSTRUCT"
Spade1Mk1				_("Truck")

/* PROPULSION */
ZNULLPROP				"Z NULL PROP"
wheeled01				_("Wheels")
wheeled02				_("Wheels II") 
wheeled03				_("Wheels III")
tracked01				_("Tracks")
tracked02				_("Tracks II")
tracked03				_("Tracks III")
hover01					_("Hover")
hover02					_("Hover II")
hover03					_("Hover III")
V-Tol					_("VTOL")
V-Tol02					_("VTOL II")
V-Tol03					_("VTOL III")
HalfTrack				_("Half-tracks")
HalfTrack02				_("Half-tracks II")
HalfTrack03				_("Half-tracks III")
CyborgLegs02				_("Cyborg Propulsion II")
CyborgLegs03				_("Cyborg Propulsion III")
//CyborgJets02				_("Cyborg Jump Pack II")
//CyborgJets03				_("Cyborg Jump Pack III")
Naval					_("Naval")

/*BABARIAN PROPULSIONS*/
BaBaProp				"BaBaProp"
BaBaLegs				"BaBaLegs"

/*CYBORG PROPULSIONS*/
CyborgLegs				_("Cyborg Propulsion")
//CyborgJets				_("Cyborg Jump Pack")

/* VEHICLE AUTO-REPAIR */
ZNULLREPAIR				"Z NULL REPAIR"
LightRepair1				_("Repair Turret")

/* ECM */
ZNULLECM				"Z NULL ECM"
//ECM1PylonMk1				_("Jammer Tower")
//ECM1TurretMk1				_("Jammer Turret")
//ECM1DefaultMk1				"*TEST - ECM1 Default Mk1*"
ECM1Default				"*TEST - Baba ECM Default*"
//ECM2PylonMk1				_("Jammer Tower II")
//ECM2TurretMk1				_("Jammer Turret III")
//ECM2DefaultMk1				"*Improved ECM Default Mk1*"
//ECM3PylonMk1				_("Jammer Tower III")
//ECM3TurretMk1				_("Jammer Turret III")
//ECM3DefaultMk1				"*ECM3DefaultMk1*"

/* SENSORS */
ZNULLSENSOR				"Z NULL SENSOR"
BaBaSensor				"*BaBa Default Sensor*"
CCSensor				"*CC Sensor*"
DefaultSensor1Mk1			"*Default Sensor1 Mk1*"
NavGunSensor				"*NavGunSensor*"
SensorTower1Mk1				_("Sensor Tower")
SensorTower2Mk1				_("Hardened Sensor Tower")
SensorTurret1Mk1			_("Sensor Turret")
Sys-CBTower01				"*CB Tower*"
Sys-VTOLCBTower01			_("VTOL CB Radar Tower")
Sys-VTOLRadarTower01			_("VTOL CB Radar Tower")
UplinkSensor				_("Uplink Sensor")

Sys-CBTurret01				_("CB Radar Turret")
Sys-VstrikeTurret01			_("VTOL Strike Turret")
Sys-VTOLCBTurret01			_("VTOL CB Radar Turret")
Sys-NXLinkTurret01			_("NEXUS Link")

SpyTurret01				_("Scrambler Turret")

/* PLAYER STRUCTURES */
A0ResourceExtractor			_("Oil Derrick")
A0CommandCentre				_("Command Center")
A0LightFactory				_("Factory")
A0FacMod1				_("Factory Module")
A0PowerGenerator			_("Power Generator")
A0PowMod1				_("Power Module")
A0ResearchFacility			_("Research Facility")
A0ResearchModule1			_("Research Module")
A0ADemolishStructure			_("Demolish Structure")
DemolishStructure			_("Demolish")
A0RepairCentre				_("Repair Center")
A0ComDroidControl			_("Command Relay Center")
A0HardcreteMk1CWall			_("Hardcrete Corner Wall")
A0HardcreteMk1Wall			_("Hardcrete Wall")

A0VTolFactory1				_("VTOL Factory")
A0CyborgFactory				_("Cyborg Factory")

/* DEFENSIVE STRUCTURES */
Tower-Projector				_("Inferno Emplacement") //previously "Inferno Guard Tower"
WallTower-Projector			_("Inferno Hardpoint")
Emplacement-RotMor			_("Pepperpot Pit")
Emplacement-RotHow			_("Hellstorm Emplacement")
//SuperEmplacement			"*Super Gun*"
//PlasmaEmplacement			"*Plasma Weapon*"

AASite-TwinBof				_("Tornado AA Flak Site")
AASite-QuadBof				_("Cyclone AA Flak Site")
AASite-QuadMg1				_("Hurricane AA Site")
AASite-QuadRotMg			_("Whirlwind AA Site")

Emplacement-Rocket06-IDF		_("Ripple Rocket Battery")
//Tower-Missile1				_("Lancer Guard Tower")
//Tower-Missile2				_("Mini-Rocket Guard Tower")
Tower-VulcanCan				_("Assault Cannon Guard Tower")
Tower-RotMg				_("Assault Gun Guard Tower")
Wall-RotMg				_("Assault Gun Hardpoint")
Wall-VulcanCan				_("Assault Cannon Hardpoint")

/*SENSOR TOWERS*/
Sys-SensoTower01			_("Sensor Tower")
Sys-SensoTower02			_("Hardened Sensor Tower")
//Sys-ECMTower01				_("Jammer Tower")
Sys-CB-Tower01				_("CB Tower")
Sys-VTOL-CB-Tower01			_("VTOL CB Tower")
Sys-VTOL-RadarTower01			_("VTOL Radar Tower")

/*WALLTOWERS*/
WallTower01				_("Heavy Machinegun Hardpoint")
WallTower02				_("Light Cannon Hardpoint")
WallTower03				_("Medium Cannon Hardpoint")
WallTower04				_("Heavy Cannon Hardpoint")
WallTower05				_("Flamer Hardpoint")
WallTower06				_("Lancer Hardpoint")

GuardTower1				_("Machinegun Guard Tower")
GuardTower2				_("Twin Machinegun Guard Tower")
GuardTower3				_("Heavy Machinegun Tower")
GuardTower4				_("Flamer Guard Tower")
GuardTower5				_("Lancer Tower")
GuardTower6				_("Mini-Rocket Tower")

/*PILLBOXES*/
PillBox1				_("Machinegun Bunker")
PillBox2				_("Twin Machinegun Bunker")
PillBox3				_("Heavy Machinegun Bunker")
PillBox4				_("Light Cannon Bunker")
PillBox5				_("Flamer Bunker")
PillBox6				_("Lancer Bunker")

/*TANKTRAPS*/
A0TankTrap				_("Tank Traps")
A0TankTrap2				_("Dragon's Teeth")
TankTrapC				_("Tank Traps")
TankTrap2C				_("Dragon's Teeth")

/*VTOL STRUCTURES*/
A0VtolPad				_("VTOL Rearming Pad")

/* EMPLACEMENTS */
Emplacement-Howitzer105			_("Howitzer Emplacement")
Emplacement-PrisLas			_("Flashlight Emplacement")
//Emplacement-Super			"*Emplacement-SuperGun*"
WallTower-PulseLas			_("Flashlight Hardpoint")
WallTower-Rail2				_("Rail Gun Hardpoint")
GuardTower-BeamLas			"*GuardTower-BeamLas*"
GuardTower-ATMiss			_("Scourge Missile Tower")
GuardTower-Rail1			_("Needle Gun Tower")
Emplacement-Rail3			_("Gauss Cannon Emplacement")

/* PLAYER WEAPONS */
Cannon1Mk1				_("Light Cannon")
Cannon2A-TMk1				_("Medium Cannon")
Cannon375mmMk1				_("Heavy Cannon")
Cannon4AUTOMk1				_("Hyper Velocity Cannon")
Cannon5VulcanMk1			_("Assault Cannon")

Flame1Mk1				_("Flamer")
Flame2					_("Inferno")

Howitzer105Mk1				_("Howitzer")
Howitzer105Mk1-Pit			_("Howitzer Emplacement")
Howitzer150Mk1				_("Ground Shaker")
Howitzer150Mk1-Pit			_("Ground Shaker Emplacement")
Howitzer03-Rot				_("Hellstorm")
Howitzer03-Rot-Pit			_("Hellstorm Emplacement")
//Howitzer04-Inc				_("Hellfire")

//Laser1PRISMATICMk1			_("Flashlight")
Laser2PULSEMk1				_("Pulse Laser")


MG1Mk1				_("Machinegun")
MG1-Pillbox				_("Machinegun Bunker")
MG2Mk1				_("Twin Machinegun")
MG2-Pillbox				_("Twin Machinegun Bunker")
MG3Mk1				_("Heavy Machinegun")
MG3-Pillbox				_("Heavy Machinegun Bunker")
MG4ROTARYMk1			_("Assault Gun")

//Missile-BB				_("Devastator Missile")
Missile-A-T				_("Scourge Missile")
Missile-MdArt			_("Angel Missile")
Missile-HvySAM			_("Vindicator SAM")
Missile-HvyArt			_("Archangel Missile")

Missile-LtSAM			_("Avenger SAM")
//Missile-VTOL-BB			_("VTOL Devastator Missile")
Missile-VTOL-AT			_("VTOL Scourge Missile")

Mortar1Mk1				_("Mortar")
Mortar1Mk1-Pit			_("Mortar Emplacement")
Mortar2Mk1				_("Bombard")
Mortar2Mk1-Pit			_("Bombard Emplacement")
Mortar3ROTARYMk1			_("Pepperpot")
Mortar3ROTARYMk1-Pit		_("Pepperpot Emplacement")
RailGun1Mk1				_("Needle Gun")
RailGun2Mk1				_("Rail Gun")
RailGun3Mk1				_("Gauss Cannon")
Rocket-LtA-T			_("Lancer")
Rocket-MRL				_("Mini-Rocket Artillery")
Rocket-BB				_("Bunker Buster")
//Rocket04-Scud			"*Earthshaker*"
Rocket-Pod				_("Mini-Rocket Pod")
Rocket-IDF				_("Ripple Rockets")
Rocket-HvyA-T			_("Tank Killer")
Rocket-VTOL-BB			_("VTOL Bunker Buster")
Rocket-VTOL-Pod			_("VTOL Mini-Rocket")
Rocket-VTOL-LtA-T			_("VTOL Lancer")
Rocket-VTOL-HvyA-T		_("VTOL Tank Killer")

CyborgCannon			_("Heavy Gunner")
CyborgCannon01			"*Cyborg Cannon*"
CyborgRocket			_("Lancer")
CyborgChaingun			_("Machinegunner")
CyborgFlamer01				_("Flamer")

TUTMG						_("Machinegun")

CommandTurret1				_("Command Turret")

AAGun1Mk1					_("Tornado Flak Turret")
AAGun2Mk1					_("Cyclone Flak Turret")

//Supergun					"*Supergun*"
PlasmaHeavy					"*Heavy Plasma Launcher*"

QuadRotAAGun				_("Whirlwind AA Turret")
QuadMg1AAGun				_("Hurricane AA Turret")
NavaroneGun					"*NavaroneGun*"

NX-CyborgMiss				"*NX-CyborgMiss*"
NX-CyborgChaingun				"*NX-CyborgChaingun*"
NX-CyborgPulseLas				"*NX-CyborgPulseLas*"
				   
LasSat					"LasSat"

Cannon1-VTOL				_("VTOL Cannon")
Cannon4AUTO-VTOL				_("VTOL Hyper Velocity Cannon")
Cannon5Vulcan-VTOL			_("VTOL Assault Cannon")
Laser2PULSE-VTOL				_("VTOL Pulse Laser")

MG1-VTOL					_("VTOL Machinegun")
MG2-VTOL					_("VTOL Twin Machinegun")
MG3-VTOL					_("VTOL Heavy Machinegun")
MG4ROTARY-VTOL				_("VTOL Assault Gun")
RailGun1-VTOL				_("VTOL Needle Gun")
RailGun2-VTOL				_("VTOL Rail Gun")

PBomb						_("Proximity Bomb Turret")
SPBomb					_("Proximity Superbomb Turret")

Bomb1-VTOL-LtHE				_("VTOL Cluster Bombs Bay")
Bomb2-VTOL-HvHE				_("VTOL Heap Bomb Bay")
Bomb3-VTOL-LtINC				_("VTOL Phosphor Bomb Bay")
Bomb4-VTOL-HvyINC				_("VTOL Thermite Bomb Bay")
											 
// Collective Specific Defensive Structures
CollectiveWall				_("Collective Wall")
CollectiveCWall				_("Collective CWall")
CO-Tower-MG3				"*CO-Tower-MG3*"
CO-Tower-RotMG				"*CO-Tower-RotMG*"
CO-Tower-MdCan				"*CO-Tower-MdCan*"
CO-WallTower-HvCan			"*CO-WallTower-HvCan*"
CO-WallTower-RotCan			"*CO-WallTower-RotCan*"
CO-Tower-HVCan				"*CO-Tower-HVCan*"
CO-Tower-HvFlame				"*CO-Tower-HvFlame*"
CO-Tower-HvATRkt				"*CO-Tower-HvATRkt*"
CO-Tower-LtATRkt				"*CO-Tower-LtATRkt*"
CO-Emp-Mortar2-Pit			"*CO-Emp-Mortar2-Pit*"
CO-Emp-How105-Pit				"*CO-Emp-How105-Pit*"
//CO-Emp-How150-Pit				"*CO-Emp-How150-Pit*"
//CO-Emp-RotHow-Pit				"*CO-Emp-RotHow-Pit*"
CO-Emp-RotMortar-Pit			"*CO-Emp-RotMortar-Pit*"
// CO-AASite-Flak1				"*CO-AASite-Flak1*"
// CO-AASite-Flak2				"*CO-AASite-Flak2*"
// CO-AASite-QuadMg1				"*CO-AASite-QuadMg1*"
// CO-AASite-QuadRotMg			"*CO-AASite-QuadRotMg*"
CO-AASite-SAM1				"*CO-AASite-SAM1*"

// NEXUS Specific Defensive Structures
NEXUSWall					_("NEXUS Wall")
NEXUSCWall					_("NEXUS CWall")
NX-Tower-Rail1				"*NX-Tower-Rail1*"
NX-Tower-ATMiss				"*NX-Tower-ATMiss*"
NX-Tower-PulseLas				"*NX-Tower-PulseLas*"
NX-WallTower-Rail2			"*NX-WallTower-Rail2*"
NX-WallTower-BeamLas			"*NX-WallTower-BeamLas*"
NX-WallTower-Rail3			"*NX-WallTower-Rail3*"
NX-Emp-MedArtMiss-Pit			"*NX-Emp-MedArtMiss-Pit*"
NX-Emp-MultiArtMiss-Pit			"*NX-Emp-MultiArtMiss-Pit*"
NX-Emp-Plasma-Pit				"*NX-Emp-Plasma-Pit*"
NX-AASite-SAM1				"*NX-AASite-SAM1*"
NX-AASite-SAM2				"*NX-AASite-SAM2*"

/*
 * RESEARCH TOPICS
 */
ZNullResearch				"*Z Null Research*"

CAM1RESEARCH				_("CAM1 RESEARCH")
ADVANCEDRESEARCH				_("ADVANCED RESEARCH")
CAM1VEHICLES				_("CAM1 VEHICLES")
CAM1WEAPONS					_("CAM1 WEAPONS")
CAM1SYSTEMS					_("CAM1 SYSTEMS")
CAM1DEFENSES				_("CAM1 DEFENSES")
CAM1STRUCTURES				_("CAM1 STRUCTURES")
CAM2RESEARCH				_("CAM2 RESEARCH")
CAM2VEHICLES				_("CAM2 VEHICLES")
CAM2CYBORGS					_("CAM2 CYBORGS")
CAM2WEAPONS					_("CAM2 WEAPONS")
